,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1218,2014-11-21,575.5646668726963,491.13327120969666,640.6455276431058,575.5646668726963,575.5646668726963,-5.288410958968966,-5.288410958968966,-5.288410958968966,1.3886639478462524,1.3886639478462524,1.3886639478462524,-6.677074906815218,-6.677074906815218,-6.677074906815218,0.0,0.0,0.0,570.2762559137274
1219,2014-11-24,577.4496157900859,496.77819058211196,645.3218193707704,577.4496157900859,577.4496157900859,-6.1447983616073785,-6.1447983616073785,-6.1447983616073785,-0.18985557186786217,-0.18985557186786217,-0.18985557186786217,-5.954942789739516,-5.954942789739516,-5.954942789739516,0.0,0.0,0.0,571.3048174284785
1220,2014-11-25,578.0779320958825,492.305846275129,639.5254085974708,578.0779320958825,578.0779320958825,-6.637201539502627,-6.637201539502627,-6.637201539502627,-0.9519806958491588,-0.9519806958491588,-0.9519806958491588,-5.685220843653467,-5.685220843653467,-5.685220843653467,0.0,0.0,0.0,571.4407305563799
1221,2014-11-26,578.7062484016787,498.6793078714336,651.7767814188834,578.7062484016787,578.7062484016787,-5.460787899961489,-5.460787899961489,-5.460787899961489,-0.048327802065105716,-0.048327802065105716,-0.048327802065105716,-5.412460097896383,-5.412460097896383,-5.412460097896383,0.0,0.0,0.0,573.2454605017173
1222,2014-11-27,579.3345647074752,498.9359067875994,647.657236281804,579.3345647074752,579.3345647074752,-6.400000379635512,-6.400000379635512,-6.400000379635512,-1.258577259006528,-1.258577259006528,-1.258577259006528,-5.141423120628984,-5.141423120628984,-5.141423120628984,0.0,0.0,0.0,572.9345643278398
1223,2014-11-28,579.9628810132716,501.8487353720064,653.2414074669966,579.9628810132716,579.9628810132716,-3.486596920022528,-3.486596920022528,-3.486596920022528,1.388663947836418,1.388663947836418,1.388663947836418,-4.875260867858946,-4.875260867858946,-4.875260867858946,0.0,0.0,0.0,576.4762840932491
1224,2014-12-02,582.4761462364575,499.7560225066256,644.1739877694226,582.4761462364575,582.4761462364575,-4.815997770272751,-4.815997770272751,-4.815997770272751,-0.9519806958325948,-0.9519806958325948,-0.9519806958325948,-3.8640170744401563,-3.8640170744401563,-3.8640170744401563,0.0,0.0,0.0,577.6601484661848
1225,2014-12-03,583.104462542254,504.5530568625351,651.2795502569836,583.104462542254,583.104462542254,-3.660224443029856,-3.660224443029856,-3.660224443029856,-0.048327802057793724,-0.048327802057793724,-0.048327802057793724,-3.6118966409720623,-3.6118966409720623,-3.6118966409720623,0.0,0.0,0.0,579.4442380992242
1226,2014-12-05,584.361095153847,511.84813040706035,658.9433292754663,584.361095153847,584.361095153847,-1.6836764818854881,-1.6836764818854881,-1.6836764818854881,1.3886639478418292,1.3886639478418292,1.3886639478418292,-3.0723404297273174,-3.0723404297273174,-3.0723404297273174,0.0,0.0,0.0,582.6774186719615
1227,2014-12-06,584.9894114596434,507.40419234475877,653.8122209733358,584.9894114596434,584.9894114596434,-7.274325910183595,-7.274325910183595,-7.274325910183595,-4.503389420166239,-4.503389420166239,-4.503389420166239,-2.770936490017356,-2.770936490017356,-2.770936490017356,0.0,0.0,0.0,577.7150855494598
1228,2014-12-08,586.2460440712365,508.3745461248108,657.1419754449125,586.2460440712365,586.2460440712365,-2.2572930867624197,-2.2572930867624197,-2.2572930867624197,-0.1898555718648562,-0.1898555718648562,-0.1898555718648562,-2.0674375148975637,-2.0674375148975637,-2.0674375148975637,0.0,0.0,0.0,583.9887509844741
1229,2014-12-09,586.8743603770328,510.2696304569189,660.4781910312466,586.8743603770328,586.8743603770328,-2.602683368071442,-2.602683368071442,-2.602683368071442,-0.9519806958587063,-0.9519806958587063,-0.9519806958587063,-1.6507026722127356,-1.6507026722127356,-1.6507026722127356,0.0,0.0,0.0,584.2716770089613
1230,2014-12-11,588.1309929886258,512.984388716794,665.929059633899,588.1309929886258,588.1309929886258,-1.9138942214940968,-1.9138942214940968,-1.9138942214940968,-1.2585772590146345,-1.2585772590146345,-1.2585772590146345,-0.6553169624794625,-0.6553169624794625,-0.6553169624794625,0.0,0.0,0.0,586.2170987671318
1231,2014-12-12,588.7593092944223,519.1782276578499,660.6466224431668,588.7593092944223,588.7593092944223,1.3216811872027616,1.3216811872027616,1.3216811872027616,1.3886639478424982,1.3886639478424982,1.3886639478424982,-0.06698276063973671,-0.06698276063973671,-0.06698276063973671,0.0,0.0,0.0,590.0809904816251
